DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2019,Current ELL,8,570,5,62.5,3,37.5,0,0,0,0,0,0
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2014,Ever ELL,20,281,7,35,13,65,0,0,0,0,0,0
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2015,Ever ELL,23,280,9,39.1,12,52.2,2,8.7,0,0,2,8.7
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2016,Ever ELL,12,303,2,16.7,6,50,4,33.3,0,0,4,33.3
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2017,Ever ELL,14,291,5,35.7,8,57.1,0,0,1,7.1,1,7.1
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2018,Ever ELL,9,596,1,11.1,6,66.7,2,22.2,0,0,2,22.2
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2019,Ever ELL,9,603,0,0,4,44.4,3,33.3,2,22.2,5,55.6
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2014,Never ELL,47,289,17,36.2,21,44.7,7,14.9,2,4.3,9,19.1
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2015,Never ELL,50,279,25,50,22,44,3,6,0,0,3,6
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2016,Never ELL,58,285,24,41.4,24,41.4,8,13.8,2,3.4,10,17.2
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2017,Never ELL,51,275,31,60.8,12,23.5,4,7.8,4,7.8,8,15.7
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2018,Never ELL,52,592,11,21.2,30,57.7,7,13.5,4,7.7,11,21.2
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2019,Never ELL,57,594,7,12.3,33,57.9,13,22.8,4,7,17,29.8
07X151,J.H.S. 151 LOU GEHRIG,8,2014,Current ELL,21,253,20,95.2,1,4.8,0,0,0,0,0,0
07X151,J.H.S. 151 LOU GEHRIG,8,2015,Current ELL,27,253,22,81.5,5,18.5,0,0,0,0,0,0
07X151,J.H.S. 151 LOU GEHRIG,8,2016,Current ELL,27,254,21,77.8,6,22.2,0,0,0,0,0,0
07X151,J.H.S. 151 LOU GEHRIG,8,2017,Current ELL,20,264,15,75,5,25,0,0,0,0,0,0
07X151,J.H.S. 151 LOU GEHRIG,8,2018,Current ELL,20,574,15,75,4,20,1,5,0,0,1,5
07X151,J.H.S. 151 LOU GEHRIG,8,2019,Current ELL,20,575,14,70,6,30,0,0,0,0,0,0
07X151,J.H.S. 151 LOU GEHRIG,8,2014,Ever ELL,16,284,8,50,7,43.8,1,6.3,0,0,1,6.3
07X151,J.H.S. 151 LOU GEHRIG,8,2015,Ever ELL,9,303,1,11.1,4,44.4,4,44.4,0,0,4,44.4
07X151,J.H.S. 151 LOU GEHRIG,8,2016,Ever ELL,18,303,3,16.7,9,50,5,27.8,1,5.6,6,33.3
07X151,J.H.S. 151 LOU GEHRIG,8,2017,Ever ELL,13,302,4,30.8,4,30.8,5,38.5,0,0,5,38.5
07X151,J.H.S. 151 LOU GEHRIG,8,2018,Ever ELL,9,593,3,33.3,4,44.4,2,22.2,0,0,2,22.2
07X151,J.H.S. 151 LOU GEHRIG,8,2019,Ever ELL,11,596,1,9.1,7,63.6,3,27.3,0,0,3,27.3
07X151,J.H.S. 151 LOU GEHRIG,8,2014,Never ELL,57,279,30,52.6,26,45.6,1,1.8,0,0,1,1.8
07X151,J.H.S. 151 LOU GEHRIG,8,2015,Never ELL,46,272,26,56.5,19,41.3,1,2.2,0,0,1,2.2
07X151,J.H.S. 151 LOU GEHRIG,8,2016,Never ELL,44,297,13,29.5,23,52.3,6,13.6,2,4.5,8,18.2
07X151,J.H.S. 151 LOU GEHRIG,8,2017,Never ELL,46,293,16,34.8,22,47.8,5,10.9,3,6.5,8,17.4
07X151,J.H.S. 151 LOU GEHRIG,8,2018,Never ELL,48,583,21,43.8,22,45.8,3,6.3,2,4.2,5,10.4
07X151,J.H.S. 151 LOU GEHRIG,8,2019,Never ELL,42,593,9,21.4,21,50,9,21.4,3,7.1,12,28.6
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2014,Current ELL,1,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2015,Current ELL,4,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2016,Current ELL,4,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2017,Current ELL,6,274,5,83.3,1,16.7,0,0,0,0,0,0
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2018,Current ELL,4,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2019,Current ELL,6,581,3,50,3,50,0,0,0,0,0,0
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2014,Ever ELL,30,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2015,Ever ELL,11,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2016,Ever ELL,28,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2017,Ever ELL,28,309,2,7.1,14,50,12,42.9,0,0,12,42.9
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2018,Ever ELL,23,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2019,Ever ELL,22,603,0,0,12,54.5,8,36.4,2,9.1,10,45.5
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2014,Never ELL,59,287,21,35.6,32,54.2,6,10.2,0,0,6,10.2
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2015,Never ELL,71,293,23,32.4,33,46.5,14,19.7,1,1.4,15,21.1
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2016,Never ELL,66,305,13,19.7,29,43.9,20,30.3,4,6.1,24,36.4
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2017,Never ELL,59,303,8,13.6,30,50.8,21,35.6,0,0,21,35.6
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2018,Never ELL,60,599,6,10,27,45,22,36.7,5,8.3,27,45
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2019,Never ELL,64,604,3,4.7,24,37.5,27,42.2,10,15.6,37,57.8
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2014,Current ELL,9,268,6,66.7,3,33.3,0,0,0,0,0,0
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2015,Current ELL,7,281,3,42.9,4,57.1,0,0,0,0,0,0
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2016,Current ELL,5,s,s,s,s,s,s,s,s,s,s,s
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2017,Current ELL,9,276,5,55.6,4,44.4,0,0,0,0,0,0
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2018,Current ELL,4,s,s,s,s,s,s,s,s,s,s,s
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2019,Current ELL,7,585,3,42.9,4,57.1,0,0,0,0,0,0
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2014,Ever ELL,34,298,7,20.6,22,64.7,4,11.8,1,2.9,5,14.7
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2015,Ever ELL,27,307,1,3.7,16,59.3,9,33.3,1,3.7,10,37
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2016,Ever ELL,35,s,s,s,s,s,s,s,s,s,s,s
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2017,Ever ELL,17,319,0,0,10,58.8,3,17.6,4,23.5,7,41.2
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2018,Ever ELL,21,s,s,s,s,s,s,s,s,s,s,s
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,8,2019,Ever ELL,32,601,2,6.3,14,43.8,14,43.8,2,6.3,16,50
